,0
4881,0
4780,1
4770,2
5102,3
1799,4
3657,5
1887,6
697,7
4456,8
3991,9
4076,10
3565,11
4187,12
5611,13
3601,14
213,15
4359,16
994,17
444,18
1961,19
605,20
1240,21
1165,22
3320,23
441,24
307,25
2414,26
460,27
3262,28
4041,29
5325,30
900,31
3064,32
4288,33
2126,34
3332,35
4290,36
4168,37
4275,38
2907,39
4680,40
4898,41
4899,42
2069,43
2307,44
2306,45
4306,46
3966,47
423,48
2894,49
5376,50
3643,51
467,52
538,53
2618,54
539,55
2259,56
1255,57
2528,58
495,59
2147,60
4923,61
4668,62
871,63
4535,64
879,65
2212,66
4536,67
2219,68
2458,69
5593,70
2690,71
1127,72
2065,73
3108,74
3090,75
4024,76
3103,77
3105,78
3089,79
4032,80
1001,81
4840,82
4018,83
4166,84
1305,85
4902,86
4040,87
1259,88
5728,89
1335,90
4890,91
1419,92
2787,93
365,94
732,95
5648,96
1417,97
3382,98
2742,99
3060,100
3383,101
1158,102
4789,103
2739,104
1159,105
5598,106
2743,107
2811,108
2909,109
5841,110
3119,111
1157,112
1956,113
1968,114
2740,115
3259,116
2932,117
5864,118
433,119
5629,120
2783,121
4539,122
4401,123
4400,124
745,125
4348,126
4091,127
411,128
3702,129
1834,130
3200,131
1849,132
4200,133
2853,134
317,135
2729,136
1954,137
2298,138
5633,139
2728,140
3280,141
2789,142
5126,143
4213,144
5465,145
4764,146
5810,147
4127,148
439,149
3087,150
3699,151
2978,152
514,153
1470,154
2418,155
2097,156
3697,157
4877,158
2289,159
310,160
2096,161
4351,162
1222,163
3828,164
1107,165
4424,166
4296,167
1114,168
4385,169
1116,170
1112,171
2251,172
348,173
1111,174
2899,175
2893,176
5419,177
5420,178
5421,179
5426,180
4502,181
432,182
1194,183
3792,184
3790,185
1125,186
985,187
5686,188
1031,189
4017,190
5687,191
3704,192
5209,193
5071,194
2796,195
2791,196
2812,197
3859,198
1037,199
4206,200
1964,201
4922,202
4461,203
2731,204
3036,205
2788,206
4160,207
689,208
2135,209
4162,210
5269,211
4161,212
2374,213
4501,214
4429,215
4402,216
4527,217
2705,218
1800,219
2472,220
3035,221
3900,222
1310,223
1742,224
3365,225
4202,226
253,227
4205,228
4500,229
622,230
2010,231
3897,232
3193,233
2024,234
3133,235
3192,236
4499,237
1562,238
2600,239
1931,240
1228,241
2602,242
371,243
4085,244
1953,245
1951,246
1952,247
3758,248
4144,249
4137,250
5045,251
4741,252
3757,253
4740,254
4954,255
1981,256
1651,257
4962,258
454,259
455,260
5341,261
5724,262
3524,263
4888,264
4667,265
5324,266
440,267
5748,268
2645,269
4016,270
3159,271
3218,272
4530,273
4251,274
4241,275
2019,276
1923,277
4660,278
4088,279
4659,280
4648,281
3441,282
4345,283
4701,284
4685,285
4347,286
1202,287
4436,288
3776,289
2444,290
1828,291
5132,292
1328,293
4208,294
5146,295
4931,296
4930,297
687,298
1129,299
4664,300
1532,301
2241,302
5125,303
1207,304
1643,305
4657,306
1798,307
5250,308
65,309
723,310
4826,311
583,312
5297,313
1277,314
2032,315
5626,316
528,317
1895,318
4167,319
2007,320
1793,321
4349,322
2006,323
2726,324
4782,325
2977,326
5301,327
5857,328
4050,329
3246,330
3247,331
933,332
1995,333
5653,334
5759,335
1957,336
438,337
4921,338
4426,339
227,340
1405,341
4210,342
4172,343
3355,344
4093,345
2178,346
353,347
4332,348
3354,349
3353,350
713,351
671,352
2424,353
2422,354
81,355
5112,356
1591,357
44,358
457,359
1640,360
5789,361
3256,362
459,363
1592,364
625,365
427,366
419,367
415,368
1593,369
404,370
3749,371
424,372
53,373
409,374
3257,375
1433,376
624,377
442,378
2464,379
98,380
5458,381
45,382
1627,383
3732,384
5096,385
1056,386
1057,387
1783,388
96,389
2423,390
461,391
99,392
2805,393
1516,394
2425,395
1675,396
3756,397
623,398
2452,399
5050,400
1402,401
1499,402
5442,403
5809,404
1501,405
672,406
3221,407
57,408
4211,409
665,410
866,411
58,412
164,413
5410,414
1500,415
737,416
1910,417
4304,418
5462,419
2628,420
5811,421
5812,422
2686,423
5411,424
111,425
5049,426
3728,427
3889,428
1687,429
4178,430
5523,431
1138,432
1628,433
5031,434
4781,435
1701,436
1472,437
1888,438
1204,439
4895,440
744,441
1021,442
5772,443
1019,444
1024,445
1025,446
3161,447
3283,448
4494,449
2819,450
2255,451
3384,452
1660,453
638,454
1993,455
772,456
2299,457
2704,458
1022,459
3350,460
1699,461
3351,462
640,463
2646,464
3348,465
398,466
555,467
3352,468
5503,469
2650,470
5627,471
3349,472
5505,473
5663,474
898,475
4389,476
792,477
3693,478
801,479
888,480
1653,481
503,482
501,483
504,484
505,485
1504,486
2447,487
2529,488
62,489
4630,490
4988,491
4732,492
920,493
5604,494
4702,495
1479,496
2813,497
1919,498
2757,499
569,500
5750,501
3419,502
5647,503
2177,504
1497,505
5851,506
987,507
790,508
788,509
3248,510
3061,511
3138,512
3251,513
3137,514
5797,515
3447,516
1028,517
5231,518
5070,519
4099,520
3750,521
5562,522
309,523
2741,524
2130,525
572,526
591,527
4865,528
1925,529
1069,530
1922,531
1046,532
2106,533
5165,534
1913,535
535,536
3370,537
511,538
3917,539
2799,540
819,541
1589,542
1352,543
117,544
238,545
4201,546
206,547
202,548
357,549
3615,550
650,551
5309,552
395,553
1958,554
374,555
2989,556
3992,557
92,558
1845,559
3569,560
664,561
2238,562
4019,563
1967,564
1970,565
3140,566
4448,567
3102,568
4443,569
2059,570
3086,571
4475,572
1364,573
3154,574
2056,575
4474,576
4462,577
1601,578
4524,579
4174,580
3551,581
721,582
4353,583
4354,584
2972,585
3620,586
4528,587
4021,588
3622,589
3359,590
1100,591
991,592
957,593
965,594
5105,595
232,596
241,597
3235,598
2150,599
4753,600
5680,601
2140,602
1884,603
4278,604
1130,605
3096,606
3084,607
3116,608
1908,609
1467,610
2807,611
1909,612
3853,613
363,614
3052,615
1905,616
1083,617
1996,618
3912,619
2102,620
4639,621
4078,622
3743,623
1753,624
959,625
3498,626
209,627
4115,628
3422,629
5256,630
3959,631
3331,632
1882,633
4109,634
1247,635
510,636
4700,637
4257,638
1411,639
1365,640
2539,641
984,642
970,643
4912,644
3794,645
4911,646
3388,647
5199,648
988,649
2431,650
4468,651
4507,652
2263,653
4504,654
68,655
4545,656
2792,657
4546,658
1974,659
1960,660
1345,661
1050,662
4033,663
4990,664
2626,665
5437,666
5565,667
1206,668
5804,669
3880,670
938,671
3393,672
1106,673
2209,674
5528,675
1997,676
2917,677
4822,678
4823,679
328,680
877,681
4470,682
3738,683
4307,684
3531,685
5554,686
2781,687
421,688
1483,689
4141,690
1867,691
4856,692
2208,693
1156,694
1918,695
3396,696
4858,697
4198,698
5582,699
4199,700
2370,701
4001,702
2774,703
2747,704
580,705
581,706
4089,707
2375,708
3014,709
681,710
5015,711
4339,712
4372,713
341,714
5564,715
1376,716
2481,717
3361,718
1810,719
1445,720
1115,721
633,722
2491,723
2223,724
2224,725
1812,726
1808,727
1809,728
257,729
5621,730
2519,731
1134,732
5470,733
184,734
2087,735
2089,736
3879,737
2778,738
943,739
64,740
1571,741
3862,742
4465,743
2161,744
1608,745
1508,746
470,747
3162,748
2050,749
3667,750
3121,751
3129,752
4070,753
3148,754
3395,755
5605,756
1190,757
3669,758
5180,759
4341,760
2866,761
3342,762
5103,763
4196,764
2674,765
2957,766
1973,767
1062,768
1002,769
2751,770
1998,771
5236,772
4414,773
3958,774
4731,775
5037,776
1900,777
700,778
998,779
5716,780
4969,781
2553,782
815,783
2190,784
2248,785
458,786
1312,787
5262,788
3063,789
3049,790
1422,791
2403,792
537,793
3057,794
714,795
3179,796
3055,797
5501,798
981,799
889,800
843,801
5408,802
4300,803
5656,804
783,805
1557,806
324,807
2797,808
2845,809
1924,810
1776,811
2611,812
1498,813
3534,814
5346,815
789,816
300,817
1708,818
77,819
4034,820
5870,821
5869,822
4742,823
4868,824
3199,825
1302,826
3883,827
3848,828
521,829
1394,830
54,831
4784,832
5225,833
2710,834
2850,835
3188,836
3658,837
1926,838
2351,839
4180,840
4839,841
2148,842
4750,843
3420,844
3628,845
4714,846
5584,847
2606,848
1299,849
3692,850
4941,851
1899,852
891,853
892,854
894,855
4721,856
3110,857
478,858
5533,859
