,item,product_id
0,1122,12259
1,4892,25690
2,7013,28601
3,7188,28785
4,8195,29730
5,8781,30501
6,9903,31878
7,9904,31879
8,9913,31889
9,10203,32157
10,10710,32662
11,11350,35110
12,13928,7921
13,14408,94
14,6705,28274
15,10262,32212
16,6757,28332
18,7681,29235
19,5070,25908
21,9771,31743
22,3111,19238
23,4800,25593
24,6398,27859
25,7828,29389
26,9765,31737
27,9773,31746
28,9978,31938
29,10181,32135
30,10841,32786
31,12255,4566
32,12332,4698
33,12334,4698attr873
34,12450,5021
35,12863,5967
36,12865,5967attr1270
37,13332,6739
38,340,11023
39,6810,28395
40,14393,9230
41,2128,13912
42,5350,26331
43,5402,26393
44,13482,7055
45,13483,7056
46,14259,8530
47,2118,1389
48,3958,22204
49,9902,31877
50,14360,9179
51,2994,19075
52,3017,19099
53,3019,19100
54,9683,31648
55,14229,8430
56,2436,169
57,2590,185
59,10033,31991
60,12927,6037
61,13996,8073
62,14211,8393
63,2704,1869
64,9364,31148
66,8709,30428
67,816,11815
68,967,12005
69,970,12008
70,974,12011
71,1085,12186
72,2087,13831
73,2628,18552
74,2629,18553
75,4932,25738
76,5018,25841
77,5019,25845
78,5023,25849
79,5027,25852
80,5030,25856
82,5722,26849
83,6516,28056
84,6685,28259
85,6826,28416
86,7027,28616
87,7067,28666
88,7971,29531
89,8147,29688
90,8907,30634
91,9318,31098
92,9425,31270
93,9427,31272
94,9428,31274
95,9677,31642
96,9845,31819
97,9889,31864
98,9890,31865
99,9892,31867
100,10026,31984
101,10034,31992
102,11732,3625
103,11795,3753
104,1532,1300
105,12159,4393
106,5148,26034
107,14097,8218
108,4641,24680
109,12478,5085
110,5750,26904
111,6601,28175
112,8305,29849
113,9874,31848
114,10591,32556
115,11479,3527
116,14267,88
117,14037,813
118,479,11249
119,1351,12653
120,1548,1302
121,1613,13118
122,2151,13970
123,2153,13976
124,4850,25653
125,4860,25664
126,4867,25668
127,4871,25671
128,4893,25691
129,4962,25776
130,5619,26736
131,5829,27051
132,6207,27573
133,6208,27574
134,7241,28855
135,7242,28856
136,7243,28857
137,7244,28858
138,7294,28906
139,7741,29284
140,8001,29556
141,8006,29557
142,8008,29558
143,8009,29558attr2924
144,8012,29559
145,8710,30429
146,8790,30510
147,8872,30597
148,9292,31076
149,9645,31603
151,9679,31644
152,9680,31645
153,9684,31649
154,10082,32039
155,10519,32480
156,10724,32675
157,11425,35194
158,13360,678
159,13972,8037
160,14058,8166
161,14069,8185
162,14085,8201
163,14086,8202
164,14088,8204
165,14092,8209
166,14094,8210
167,14120,8248
168,14121,8249
169,14122,8250
170,14146,8285
171,14382,9210
172,11767,3686
173,12991,6154
174,2003,13741
175,6455,27927
176,6959,28550
177,11865,3870
178,9694,31662
179,10537,32499
180,10840,32785
181,11585,35456
182,11587,35458
183,12022,4120
186,2901,18955
187,3385,19610
188,6282,27688
189,8672,30385
190,11750,3645
191,12178,4419
192,12882,5979
193,3375,19600
194,7809,29357
195,7460,29072
196,8519,30093
197,13542,7178
198,14005,8089
199,14011,8095
200,3317,1955
201,8084,29620
202,8085,29621
203,9455,31364
204,12663,5491
205,4092,23648
208,6785,28359
209,6791,28365
211,10104,32062
212,10229,32179
213,10237,32188
214,10356,32310
215,10809,32756
216,13848,7807
217,8082,29619
218,44,1043
220,9985,31945
221,10317,32267
222,10387,32342
223,10414,32368
224,10467,32422
225,10557,32518
226,10560,32521
227,503,1130
228,2192,14067
229,3425,19711
230,3431,19725
231,3434,19730
232,7820,29379
233,9488,31424
234,10408,32362
235,10625,32584
236,12709,5562
237,12801,5810
238,13103,6330
239,13104,6333
240,13109,6338
241,13690,7458
242,2986,19068
243,2990,19071
245,2995,19076
246,2997,19078
247,3000,19081
248,3001,19082
249,3015,19097
251,3531,19917
252,3803,20471
253,8067,29608
254,9875,31849
255,13992,8069
256,13995,8072
258,13998,8075
259,14001,8082
261,12806,583
263,7041,28635
264,8114,29652
265,8467,30035
266,12748,5651
267,12749,5652
269,2160,14005
270,9951,31911
271,1527,1299
272,257,10890
273,2204,14084
274,14433,966
275,942,11974
276,1394,12776
277,2891,18945
279,6829,28419
281,13936,7931
282,8107,29645
283,8109,29647
284,436,11201
285,548,11375
286,549,11376
288,973,12010
289,1230,12412
290,1833,1346
292,2766,18773
293,2772,18779
294,2805,18816
297,5111,25981
298,5112,25982
299,5288,26252
300,5723,26850
301,6515,28055
302,6684,28258
306,6932,2852
307,7006,28595
308,7030,28619
309,7305,28921
310,8024,29571
311,8026,29573
312,8159,29699
313,9367,31151
315,9877,31851
316,9994,31954
318,11736,3630
319,11991,4056
320,11992,4057
321,12141,4355
322,12227,4525
324,1102,12215
325,3637,20150
326,4371,24136
327,5319,26293
328,7940,29490
329,12442,5002
331,919,11942
332,1283,12483
334,2800,18807
335,4926,25732
337,6196,27561
340,9534,31481
341,9537,31484
342,9539,31486
344,14111,8232
345,1145,12298
346,474,11239
347,969,12007
348,4735,25399
349,9094,30862
351,2688,1866
352,12463,5054
353,12827,5877
354,12550,523
355,12883,598
356,219,10833
357,8768,30483
358,3390,1962
359,9966,31926
360,13775,7629
361,338,11019
362,6621,28199
363,12343,4713
364,1750,13342
365,3082,19177
366,3090,19186
367,5707,26843
368,6618,28196
369,2889,18941
371,2710,1870
372,6428,27894
374,10715,32667
375,5069,25907
376,9768,31740
377,11866,3872
378,12318,4687
380,13929,7922
381,7397,29011
382,7398,29011attr2597
383,7511,29103
384,7615,29171
385,7621,29176
386,7642,29201
387,8906,30633
388,9362,31146
389,11968,4021
390,12079,4218
391,12225,4519
392,13362,6781
393,14261,87
395,399,11136
396,1929,1362
397,2224,14114
398,14269,881
399,11905,3937
400,6912,28500
402,5710,26843attr898
403,1513,12965
404,13860,7816
405,143,10717
406,863,11876
407,866,11881
408,869,11886
409,884,11904
410,1242,12432
411,1247,12437
412,2274,14415
413,2303,14456
414,2777,18781
415,2825,18837
416,3136,19299
417,3509,19874
418,4879,25677
419,4881,25679
420,4942,25751
421,5016,25839
422,5665,26791
423,6340,27768
424,7049,28645
425,7156,28750
426,7883,29439
427,7884,29440
428,7904,29460
429,7910,29464
430,7941,29491
431,7948,29499
432,7956,29516
434,8225,29760
436,9797,31770
438,10091,32048
440,10415,32369
442,11300,35050
445,14275,885
446,14276,885attr27
448,6657,28240
449,10525,32487
451,9132,30892
452,9509,31452
453,12759,5670
455,11027,3378
456,2671,18637
457,3372,19598
458,4886,25683
459,6780,28353
460,9833,31806
462,13315,6704
463,7481,29088
464,7503,29100
465,7522,29111
466,10214,32170
467,1280,12478
468,1921,13607
469,5564,26635
471,9515,31461
472,9626,31581
473,11739,3633
474,4755,25429
475,12187,4430
477,8708,30427
479,9682,31647
481,4883,25680
482,855,11867
483,5010,25832
484,10551,32512
485,12057,4189
486,13183,6462
488,6722,28291
490,8316,29862
492,142,10715
493,198,10805
494,1420,12825
495,1894,1356
497,2786,1879
498,2795,1880
499,4878,25676
501,6905,28494
504,9876,31850
506,10044,32001
507,10198,32152
508,11507,3532
509,11615,3559
510,11850,3847
511,12165,4409
512,12215,4497
513,3627,20141
515,7623,29178
516,10060,32015
517,10263,32213
518,10327,32279
520,11839,3824
521,11924,3960
522,11925,3962
523,12116,4298
526,1106,12219
527,3442,19748
528,8555,30128
529,9281,31062
530,5008,25830
531,6336,27759
534,6511,28051
536,9426,31271
538,13861,7817
540,13715,7514
541,216,10830
544,6758,28333
546,10851,32796
548,11931,3969
550,14012,8097
554,11294,35044
555,11533,35357
556,13823,7750
557,3153,1932
558,3185,1938
559,5970,27237
560,7526,29113
562,5466,26500
563,9912,31888
565,14107,8229
566,119,10680
567,1153,12308
568,7077,28677
569,7078,28678
570,7080,28680
571,7082,28684
572,7810,29358
574,7587,29158
577,9648,31610
578,10086,32043
579,11558,3539
580,11576,3541
581,11614,3558
582,6064,27383
585,698,11592
586,8087,29623
587,8092,29628
588,9028,30771
589,9517,31464
591,11474,35239
592,13143,6396
594,7042,28636
595,7401,29013
596,7657,29208
597,12649,545
598,2630,18554
600,1729,1331
601,4756,25430
602,5096,25963
603,3441,19747
604,7627,29182
605,6658,28241
607,1580,13067
608,2533,18401
609,8180,29717
610,12408,4874
611,13205,6515
614,4866,25667
618,3173,19354
620,9439,31289
621,13687,7455
622,13937,7933
623,637,11501
625,7325,28946
626,13982,8049
627,1887,1355
629,2025,13769
630,3756,20407
631,5911,27160
632,9054,30817
633,10025,31983
634,11519,3534
635,11996,4070
636,12270,4611
638,13120,6365
640,14414,947
641,9802,31775
643,1434,12848
645,539,11355
646,602,11457
647,644,11508
648,647,11511
649,2256,14141
650,6343,27770
651,7300,28912
652,9088,30853
653,14098,8219
654,14224,8416
655,13352,6772
656,13357,6777
657,423,11165
659,13044,6227
660,1121,12257
662,2919,18966
663,2978,1906
665,8175,29712
666,8176,29712attr1176
667,12176,4417
668,2618,18532
670,8348,29897
671,11344,35104
673,11745,3640
674,2229,1412
675,3177,1936
676,3629,20143
677,6392,27849
678,6994,28584
680,9906,31881
681,1076,12173
683,1105,12218
685,6159,27478
686,8428,29989
687,10470,32425
688,10495,32453
689,11735,3629
691,12226,4521
692,13824,7751
693,4180,23781
694,10540,32501
695,3154,19320
697,4590,24568
698,11919,3951
699,1602,13101
700,450,11214
701,1789,13396
702,8089,29625
703,13548,7185
704,9584,31541
705,10018,31975
706,11135,3471
707,12582,5293
710,12261,4580
711,3793,20458
712,4329,24072
713,8042,29586
714,12788,576
719,895,11916
720,6476,28001
721,8028,29575
723,11785,3727
724,11849,3846
725,11869,3875
727,204,10819
728,7132,28721
729,7135,28724
730,9573,31526
731,13392,6835
733,11419,35188
734,763,11700
735,2722,18715
736,5635,26756
737,9430,31278
738,1010,12072
739,3498,19856
740,5050,25888
741,13439,6939
742,617,11478
744,1284,12484
745,1515,12967
746,3598,20072
747,5382,26368
748,7733,29279
749,7888,29444
751,7960,29520
752,9203,30967
755,6765,28341
756,6840,28433
757,842,11847
758,917,1194
759,1973,1370
760,2059,1380
761,2254,1414
762,4597,2458
763,8669,30381
764,8788,30508
765,10058,32013
766,10109,32067
767,10477,32433
768,11851,3849
769,13326,6732
771,7811,29359
772,7816,29364
773,8988,30729
774,565,11403
776,6655,28238
777,12978,614
778,697,11589
779,6828,28418
780,12800,5808
781,5115,25985
783,445,1121
784,729,11653
785,903,11925
786,959,11996
788,2713,18704
789,3078,19174
791,4112,23674
793,5025,25850
794,5071,25909
795,5359,26341
796,5480,26522
797,6452,27920
798,6779,28352
801,7585,29157
802,7792,29337
803,8027,29574
804,8884,30612
805,9267,31047
806,9699,31667
807,9847,31821
808,10083,32040
811,10421,32374
812,12436,4970
814,13405,6863
815,13991,8067
817,10349,32303
819,2077,1382
820,8211,29747
821,13780,7647
822,13781,7648
823,7918,29469
825,2050,13791
826,2316,1467
827,2632,18556
828,8363,29918
829,8905,30632
832,2423,1672
833,2702,18681
837,8121,29659
842,11561,35392
843,12309,4675
844,11923,3957
847,2094,13845
849,304,10960
850,447,11211
851,5158,26049
852,6549,28095
853,8536,30106
854,9611,3157
855,12682,5521
856,12686,5525
857,13438,6938
858,14322,911
859,13989,8058
861,5222,26143
862,5226,26147
863,8848,30570
864,10047,32004
865,5809,26994
866,7887,29443
867,8656,30365
868,9867,31841
869,10708,32660
870,12323,4691
871,12898,600
873,14260,86
875,1419,12824
877,2849,18881
878,5126,26005
879,5372,26358
880,6741,28314
881,8031,29578
883,9363,31147
885,9459,31366
886,9995,31955
887,10554,32515
889,12733,5596
891,13552,7189
894,5139,26022
896,6759,28334
899,12142,4356
900,12961,6105
901,14110,8231
902,14266,879
903,14421,952
904,7122,28711
906,2600,18515
907,5875,2712
908,5880,2713
909,11546,35374
910,318,10986
911,1212,12393
912,2104,13861
913,13828,7762
916,11884,3902
918,7477,29084
920,9879,31853
921,8260,29797
922,10522,32484
923,12950,6073
925,13703,7481
926,8097,29633
927,9031,30774
928,10046,32003
933,7061,28656
934,7152,28745
937,12591,5304
939,4781,25564
940,14167,8317
941,3407,19660
942,6425,27891
946,13871,7844
947,14220,8408
949,857,11869
950,930,11961
951,957,11994
952,963,12000
953,1079,12179
956,2592,18511
957,2696,18673
958,2788,18792
959,4895,25693
960,5165,26055
962,5604,26703
967,9697,31665
969,11236,34972
970,11463,35228
971,11619,35616
972,11648,35678
973,11772,3693
974,11800,3762
975,11801,3763
977,12843,5916
978,13189,6469
979,13565,7206
980,13717,7517
981,5474,26514
982,6796,2837
984,11591,35463
986,6704,28273
988,2672,18638
990,8205,2974
991,9829,31802
992,12278,4621
995,6652,28234
996,7005,28594
