,item,item_id
0,28274,6095
1,32212,9415
2,28332,6141
5,19238,2839
6,25593,4307
7,27859,5802
8,29389,7132
9,31737,8939
10,31746,8947
11,31938,9146
12,32135,9338
13,32786,9965
14,4566,10940
15,4698,11009
16,5021,11107
17,5967,11486
18,5967attr1270,11488
19,6739,11919
20,11023,305
21,28395,6190
22,9230,12892
24,1389,1928
25,22204,3573
26,31877,9075
27,9179,12865
28,31648,8859
29,8430,12747
30,169,2213
31,185,2352
32,31878,9076
33,31991,9201
34,6037,11544
35,1869,2461
36,31148,8560
37,26331,4827
38,30428,7948
39,1300,1400
40,4393,10854
41,26034,4635
42,8218,12623
43,24680,4169
44,5085,11133
45,28175,5996
46,31848,9047
47,32556,9735
48,88,12781
49,11249,436
50,12653,1241
51,1302,1416
52,13118,1478
53,13970,1956
54,13976,1957
55,25653,4356
56,25664,4365
57,25668,4371
58,25671,4375
59,25691,4396
60,25776,4460
61,26736,5077
62,27051,5269
63,27573,5625
64,27574,5626
65,28855,6603
66,28856,6604
67,28857,6605
68,28858,6606
69,28906,6654
70,29284,7051
71,29556,7291
72,29557,7295
73,29558,7296
74,29558attr2924,7297
75,29559,7300
76,30429,7949
77,30510,8018
78,30597,8097
79,31076,8493
80,31603,8822
81,31642,8853
82,31644,8855
83,31645,8856
84,31649,8860
85,32039,9246
86,32480,9663
87,32675,9856
88,35194,10323
89,678,11946
90,8037,12510
91,8166,12589
92,8185,12598
93,8201,12611
94,8202,12612
95,8204,12614
96,8209,12618
97,8210,12620
98,8248,12644
99,8249,12645
100,8250,12646
101,8285,12668
102,9210,12882
103,3686,10483
104,6154,11603
105,13741,1824
106,27927,5857
107,28550,6333
108,3870,10578
111,29072,6807
112,30093,7776
113,7178,12121
114,8089,12540
115,8095,12546
116,25908,4558
119,32062,9267
120,32310,9507
122,1043,41
124,31945,9153
125,32267,9470
126,32342,9536
127,32368,9559
128,32422,9611
129,32518,9701
130,32521,9704
131,1130,457
132,14067,1987
133,19711,3120
134,19725,3126
135,19730,3129
136,29379,7124
137,31424,8675
138,32362,9553
139,32584,9768
140,5562,11350
141,5810,11433
142,6330,11703
143,6333,11704
144,6338,11709
145,7458,12252
